Package Name                          Version                              Info
libtommath1:armhf                     1.1.0-3                              multiple-precision integer library [runtime]                         
libtxw2-java                          2.3.0.1-8                            Typed XML Writer for Java                                            
libuv1-dev:armhf                      1.24.1-1                             asynchronous event notification library - development files          
libuv1:armhf                          1.24.1-1                             asynchronous event notification library - runtime library            
libvisio-0.1-1:armhf                  0.1.6-1+b3                           library for parsing the visio file structure                         
libwagon-http-java                    3.3.1-2                              Artifact transport abstraction used in Maven (HTTP providers)        
libwagon-provider-api-java            3.3.1-2                              Artifact transport abstraction used in Maven (Provider API)          
libwebsocket-api-java                 1.1-1+deb10u1                        Java WebSocket API                                                   
libwpd-0.10-10:armhf                  0.10.3-1                             Library for handling WordPerfect documents (shared library)          
libwpg-0.3-3:armhf                    0.3.3-1                              WordPerfect graphics import/convert library (shared library)         
libwps-0.4-4:armhf                    0.4.10-1                             Works text file format import filter library (shared library)        
libx11-dev:armhf                      2:1.6.7-1+deb10u1                    X11 client-side library (development headers)                        
libxau-dev:armhf                      1:1.0.8-1+b2                         X11 authorisation library (development headers)                      
libxcb1-dev:armhf                     1.13.1-2                             X C Binding, development files                                       
libxdmcp-dev:armhf                    1:1.1.2-3                            X11 authorisation library (development headers)                      
libxerces2-java                       2.12.0-1                             Validating XML parser for Java with DOM level 3 support              
libxml-commons-external-java          1.4.01-3                             XML Commons external code - DOM, SAX, and JAXP, etc                  
libxml-commons-resolver1.1-java       1.2-9                                XML entity and URI resolver library                                  
libxml-java                           1.1.6.dfsg-3                         namespace aware SAX-Parser utility library                           
libxmlbeans-java                      3.0.2-1                              Java library for accessing XML by binding it to Java types           
libxmlsec1-nss:armhf                  1.2.27-2                             Nss engine for the XML security library                              
libxmlsec1:armhf                      1.2.27-2                             XML security library                                                 
libxom-java                           1.2.10-1                             New XML object model for Java                                        
libxsom-java                          2.3.0.1-8                            XML Schema Object Model Java library                                 
libxt-dev:armhf                       1:1.1.5-1+b3                         X11 toolkit intrinsics library (development headers)                 
libxz-java                            1.8-2                                Java library with a complete implementation of XZ data compression   
libyajl2:armhf                        2.1.0-3                              Yet Another JSON Library                                             
libzmf-0.0-0:armhf                    0.0.2-1+b2                           Zoner Draw/Zebra file reading/converting library                     
lp-solve:armhf                        5.5.0.15-4                           Solve (mixed integer) linear programming problems                    
minecraft-pi:armhf                    0.1.1-6                              Minecraft for the Raspberry Pi                                       
mu-editor                             1.0.2+dfsg-3                         simple editor for beginner Python programmers                        
node-abbrev                           1.1.1-1                              Get unique abbreviations for a set of strings - Node.js module       
node-ajv                              5.0.0-1                              another JSON Schema Validator                                        
node-ansi                             0.3.0-3                              Advanced ANSI formatting tool for Node.js                            
node-ansi-align                       2.0.0-1                              align-text with ANSI support for CLIs                                
node-ansi-regex                       3.0.0-1                              regular expression for matching ANSI escape codes                    
node-ansi-styles                      3.2.1-1                              ANSI escape codes for styling strings in the terminal with Node.js   
node-ansistyles                       0.1.3-1                              prints output in different styles                                    
node-aproba                           1.2.0-1                              light-weight argument validator                                      
node-archy                            1.0.0-2                              Pretty-print nested hierarchies module for Node.js                   
node-are-we-there-yet                 1.1.4-1                              Keep track of the overall completion of many disparate processes     
node-asn1                             0.2.3-1                              ASN.1 encoder and decoder (BER)                                      
node-assert-plus                      1.0.0-1                              small wrapper over nodejs' assert module with two extra features     
node-asynckit                         0.4.0-2                              Minimal async jobs utility library, with streams support             
node-aws-sign2                        0.7.1-1                              AWS signing in JavaScript                                            
node-aws4                             1.8.0-1                              Signs and prepares requests using AWS Signature Version 4            
node-balanced-match                   0.4.2-1                              Match balanced character pairs in Node.js                            
node-bcrypt-pbkdf                     1.0.1-1                              Port of the OpenBSD bcrypt_pbkdf function to pure JS                 
node-bluebird                         3.5.1+dfsg2-2                        Fully featured Promises/A+ implementation for Node.js                
node-boxen                            1.2.2-1                              Create boxes in the terminal                                         
node-brace-expansion                  1.1.8-1                              Brace expansion as known from sh/bash for Node.js                    
node-builtin-modules                  3.0.0-1                              List of the Node.js builtin modules                                  
node-builtins                         1.0.3-1                              lists nodejs builtin modules                                         
node-cacache                          11.3.2-2                             fast, fault-tolerant, disk-based, data-agnostic, content-addressable 
node-call-limit                       1.1.0-1                              Limit the number of simultaneous calls to an async function          
node-camelcase                        5.0.0-1                              Convert a string to camelCase                                        
node-caseless                         0.12.0-1                             get/set/check for HTTP headers in a caseless manner                  
node-chalk                            2.3.0-2                              Terminal string styling for Node.js                                  
node-chownr                           1.1.1-1                              like chown -R                                                        
